,Pclass,Sex,Age,n_family,Fare,Embarked,y
288,2,male,42.0,0,13.0,S,yes
289,3,female,22.0,0,7.75,Q,yes
290,1,female,26.0,0,78.85,S,yes
291,1,female,19.0,1,91.0792,C,yes
292,2,male,36.0,0,12.875,C,no
293,3,female,24.0,0,8.85,S,no
294,3,male,24.0,0,7.8958,S,no
296,3,male,23.5,0,7.2292,C,no
297,1,female,2.0,3,151.55,S,no
299,1,female,50.0,1,247.5208,C,yes
302,3,male,19.0,0,0.0,S,no
305,1,male,0.92,3,151.55,S,yes
307,1,female,17.0,1,108.9,C,yes
308,2,male,30.0,1,24.0,C,no
309,1,female,30.0,0,56.9292,C,yes
310,1,female,24.0,0,83.1583,C,yes
311,1,female,18.0,4,262.375,C,yes
312,2,female,26.0,2,26.0,S,no
313,3,male,28.0,0,7.8958,S,no
314,2,male,43.0,2,26.25,S,no
315,3,female,26.0,0,7.8542,S,yes
316,2,female,24.0,1,26.0,S,yes
317,2,male,54.0,0,14.0,S,no
318,1,female,31.0,2,164.8667,S,yes
319,1,female,40.0,2,134.5,C,yes
320,3,male,22.0,0,7.25,S,no
321,3,male,27.0,0,7.8958,S,no
322,2,female,30.0,0,12.35,Q,yes
323,2,female,22.0,2,29.0,S,yes
325,1,female,36.0,0,135.6333,C,yes
326,3,male,61.0,0,6.2375,S,no
327,2,female,36.0,0,13.0,S,yes
328,3,female,31.0,2,20.525,S,yes
329,1,female,16.0,1,57.9792,C,yes
331,1,male,45.5,0,28.5,S,no
332,1,male,38.0,1,153.4625,S,no
333,3,male,16.0,2,18.0,S,no
336,1,male,29.0,1,66.6,S,no
337,1,female,41.0,0,134.5,C,yes
338,3,male,45.0,0,8.05,S,yes
339,1,male,45.0,0,35.5,S,no
340,2,male,2.0,2,26.0,S,yes
341,1,female,24.0,5,263.0,S,yes
342,2,male,28.0,0,13.0,S,no
343,2,male,25.0,0,13.0,S,no
344,2,male,36.0,0,13.0,S,no
345,2,female,24.0,0,13.0,S,yes
346,2,female,40.0,0,13.0,S,yes
348,3,male,3.0,2,15.9,S,yes
349,3,male,42.0,0,8.6625,S,no
350,3,male,23.0,0,9.225,S,no
352,3,male,15.0,2,7.2292,C,no
353,3,male,25.0,1,17.8,S,no
355,3,male,28.0,0,9.5,S,no
356,1,female,22.0,1,55.0,S,yes
357,2,female,38.0,0,13.0,S,no
360,3,male,40.0,5,27.9,S,no
361,2,male,29.0,1,27.7208,C,no
362,3,female,45.0,1,14.4542,C,no
363,3,male,35.0,0,7.05,S,no
365,3,male,30.0,0,7.25,S,no
366,1,female,60.0,1,75.25,C,yes
369,1,female,24.0,0,69.3,C,yes
370,1,male,25.0,1,55.4417,C,yes
371,3,male,18.0,1,6.4958,S,no
372,3,male,19.0,0,8.05,S,no
373,1,male,22.0,0,135.6333,C,no
374,3,female,3.0,4,21.075,S,no
376,3,female,22.0,0,7.25,S,yes
377,1,male,27.0,2,211.5,C,no
378,3,male,20.0,0,4.0125,C,no
379,3,male,19.0,0,7.775,S,no
380,1,female,42.0,0,227.525,C,yes
381,3,female,1.0,2,15.7417,C,yes
382,3,male,32.0,0,7.925,S,no
383,1,female,35.0,1,52.0,S,yes
385,2,male,18.0,0,73.5,S,no
386,3,male,1.0,7,46.9,S,no
387,2,female,36.0,0,13.0,S,yes
389,2,female,17.0,0,12.0,C,yes
390,1,male,36.0,3,120.0,S,yes
391,3,male,21.0,0,7.7958,S,yes
392,3,male,28.0,2,7.925,S,no
393,1,female,23.0,1,113.275,C,yes
394,3,female,24.0,2,16.7,S,yes
395,3,male,22.0,0,7.7958,S,no
396,3,female,31.0,0,7.8542,S,no
397,2,male,46.0,0,26.0,S,no
398,2,male,23.0,0,10.5,S,no
399,2,female,28.0,0,12.65,S,yes
400,3,male,39.0,0,7.925,S,yes
401,3,male,26.0,0,8.05,S,no
402,3,female,21.0,1,9.825,S,no
403,3,male,28.0,1,15.85,S,no
404,3,female,20.0,0,8.6625,S,no
405,2,male,34.0,1,21.0,S,no
406,3,male,51.0,0,7.75,S,no
407,2,male,3.0,2,18.75,S,yes
408,3,male,21.0,0,7.775,S,no
412,1,female,33.0,1,90.0,Q,yes
414,3,male,44.0,0,7.925,S,yes
416,2,female,34.0,2,32.5,S,yes
417,2,female,18.0,2,13.0,S,yes
418,2,male,30.0,0,13.0,S,no
419,3,female,10.0,2,24.15,S,no
421,3,male,21.0,0,7.7333,Q,no
422,3,male,29.0,0,7.875,S,no
423,3,female,28.0,2,14.4,S,no
424,3,male,18.0,2,20.2125,S,no
426,2,female,28.0,1,26.0,S,yes
427,2,female,19.0,0,26.0,S,yes
429,3,male,32.0,0,8.05,S,yes
430,1,male,28.0,0,26.55,S,yes
432,2,female,42.0,1,26.0,S,yes
433,3,male,17.0,0,7.125,S,no
434,1,male,50.0,1,55.9,S,no
435,1,female,14.0,3,120.0,S,yes
436,3,female,21.0,4,34.375,S,no
437,2,female,24.0,5,18.75,S,yes
438,1,male,64.0,5,263.0,S,no
439,2,male,31.0,0,10.5,S,no
440,2,female,45.0,2,26.25,S,yes
441,3,male,20.0,0,9.5,S,no
442,3,male,25.0,1,7.775,S,no
443,2,female,28.0,0,13.0,S,yes
445,1,male,4.0,2,81.8583,S,yes
446,2,female,13.0,1,19.5,S,yes
447,1,male,34.0,0,26.55,S,yes
448,3,female,5.0,3,19.2583,C,yes
449,1,male,52.0,0,30.5,S,yes
450,2,male,36.0,3,27.75,S,no
452,1,male,30.0,0,27.75,C,no
453,1,male,49.0,1,89.1042,C,yes
455,3,male,29.0,0,7.8958,C,yes
456,1,male,65.0,0,26.55,S,no
458,2,female,50.0,0,10.5,S,yes
460,1,male,48.0,0,26.55,S,yes
461,3,male,34.0,0,8.05,S,no
462,1,male,47.0,0,38.5,S,no
463,2,male,48.0,0,13.0,S,no
465,3,male,38.0,0,7.05,S,no
467,1,male,56.0,0,26.55,S,no
469,3,female,0.75,3,19.2583,C,yes
471,3,male,38.0,0,8.6625,S,no
472,2,female,33.0,3,27.75,S,yes
473,2,female,23.0,0,13.7917,C,yes
474,3,female,22.0,0,9.8375,S,no
476,2,male,34.0,1,21.0,S,no
477,3,male,29.0,1,7.0458,S,no
478,3,male,22.0,0,7.5208,S,no
479,3,female,2.0,1,12.2875,S,yes
480,3,male,9.0,7,46.9,S,no
482,3,male,50.0,0,8.05,S,no
483,3,female,63.0,0,9.5875,S,yes
484,1,male,25.0,1,91.0792,C,yes
486,1,female,35.0,1,90.0,S,yes
487,1,male,58.0,0,29.7,C,no
488,3,male,30.0,0,8.05,S,no
489,3,male,9.0,2,15.9,S,yes
491,3,male,21.0,0,7.25,S,no
492,1,male,55.0,0,30.5,S,no
493,1,male,71.0,0,49.5042,C,no
494,3,male,21.0,0,8.05,S,no
496,1,female,54.0,1,78.2667,C,yes
498,1,female,25.0,3,151.55,S,no
499,3,male,24.0,0,7.7958,S,no
500,3,male,17.0,0,8.6625,S,no
501,3,female,21.0,0,7.75,Q,no
503,3,female,37.0,0,9.5875,S,no
504,1,female,16.0,0,86.5,S,yes
505,1,male,18.0,1,108.9,C,no
506,2,female,33.0,2,26.0,S,yes
508,3,male,28.0,0,22.525,S,no
509,3,male,26.0,0,56.4958,S,yes
510,3,male,29.0,0,7.75,Q,yes
512,1,male,36.0,0,26.2875,S,yes
513,1,female,54.0,1,59.4,C,yes
514,3,male,24.0,0,7.4958,S,no
515,1,male,47.0,0,34.0208,S,no
516,2,female,34.0,0,10.5,S,yes
518,2,female,36.0,1,26.0,S,yes
519,3,male,32.0,0,7.8958,S,no
520,1,female,30.0,0,93.5,S,yes
521,3,male,22.0,0,7.8958,S,no
523,1,female,44.0,1,57.9792,C,yes
525,3,male,40.5,0,7.75,Q,no
526,2,female,50.0,0,10.5,S,yes
528,3,male,39.0,0,7.925,S,no
529,2,male,23.0,3,11.5,S,no
530,2,female,2.0,2,26.0,S,yes
532,3,male,17.0,2,7.2292,C,no
534,3,female,30.0,0,8.6625,S,no
535,2,female,7.0,2,26.25,S,yes
536,1,male,45.0,0,26.55,S,no
537,1,female,30.0,0,106.425,C,yes
539,1,female,22.0,2,49.5,C,yes
540,1,female,36.0,2,71.0,S,yes
541,3,female,9.0,6,31.275,S,no
542,3,female,11.0,6,31.275,S,no
543,2,male,32.0,1,26.0,S,yes
544,1,male,50.0,1,106.425,C,no
545,1,male,64.0,0,26.0,S,no
546,2,female,19.0,1,26.0,S,yes
548,3,male,33.0,2,20.525,S,no
549,2,male,8.0,2,36.75,S,yes
550,1,male,17.0,2,110.8833,C,yes
551,2,male,27.0,0,26.0,S,no
553,3,male,22.0,0,7.225,C,yes
554,3,female,22.0,0,7.775,S,yes
555,1,male,62.0,0,26.55,S,no
556,1,female,48.0,1,39.6,C,yes
558,1,female,39.0,2,79.65,S,yes
559,3,female,36.0,1,17.4,S,yes
561,3,male,40.0,0,7.8958,S,no
562,2,male,28.0,0,13.5,S,no
565,3,male,24.0,2,24.15,S,no
566,3,male,19.0,0,7.8958,S,no
567,3,female,29.0,4,21.075,S,no
569,3,male,32.0,0,7.8542,S,yes
570,2,male,62.0,0,10.5,S,yes
571,1,female,53.0,2,51.4792,S,yes
572,1,male,36.0,0,26.3875,S,yes
574,3,male,16.0,0,8.05,S,no
575,3,male,19.0,0,14.5,S,no
576,2,female,34.0,0,13.0,S,yes
577,1,female,39.0,1,55.9,S,yes
579,3,male,32.0,0,7.925,S,yes
580,2,female,25.0,2,30.0,S,yes
581,1,female,39.0,2,110.8833,C,yes
582,2,male,54.0,0,26.0,S,no
583,1,male,36.0,0,40.125,C,no
585,1,female,18.0,2,79.65,S,yes
586,2,male,47.0,0,15.0,S,no
587,1,male,60.0,2,79.2,C,yes
588,3,male,22.0,0,8.05,S,no
590,3,male,35.0,0,7.125,S,no
591,1,female,52.0,1,78.2667,C,yes
592,3,male,47.0,0,7.25,S,no
594,2,male,37.0,1,26.0,S,no
595,3,male,36.0,2,24.15,S,no
597,3,male,49.0,0,0.0,S,no
599,1,male,49.0,1,56.9292,C,yes
600,2,female,24.0,3,27.0,S,yes
603,3,male,44.0,0,8.05,S,no
604,1,male,35.0,0,26.55,C,yes
605,3,male,36.0,1,15.55,S,no
606,3,male,30.0,0,7.8958,S,no
607,1,male,27.0,0,30.5,S,yes
608,2,female,22.0,3,41.5792,C,yes
609,1,female,40.0,0,153.4625,S,yes
610,3,female,39.0,6,31.275,S,no
614,3,male,35.0,0,8.05,S,no
615,2,female,24.0,3,65.0,S,yes
616,3,male,34.0,2,14.4,S,no
617,3,female,26.0,1,16.1,S,no
618,2,female,4.0,3,39.0,S,yes
619,2,male,26.0,0,10.5,S,no
620,3,male,27.0,1,14.4542,C,no
621,1,male,42.0,1,52.5542,S,yes
622,3,male,20.0,2,15.7417,C,yes
623,3,male,21.0,0,7.8542,S,no
624,3,male,21.0,0,16.1,S,no
625,1,male,61.0,0,32.3208,S,no
626,2,male,57.0,0,12.35,Q,no
627,1,female,21.0,0,77.9583,S,yes
628,3,male,26.0,0,7.8958,S,no
630,1,male,80.0,0,30.0,S,yes
631,3,male,51.0,0,7.0542,S,no
632,1,male,32.0,0,30.5,C,yes
634,3,female,9.0,5,27.9,S,no
635,2,female,28.0,0,13.0,S,yes
636,3,male,32.0,0,7.925,S,no
637,2,male,31.0,2,26.25,S,no
638,3,female,41.0,5,39.6875,S,no
640,3,male,20.0,0,7.8542,S,no
641,1,female,24.0,0,69.3,C,yes
642,3,female,2.0,5,27.9,S,no
644,3,female,0.75,3,19.2583,C,yes
645,1,male,48.0,1,76.7292,C,yes
646,3,male,19.0,0,7.8958,S,no
647,1,male,56.0,0,35.5,C,yes
649,3,female,23.0,0,7.55,S,yes
651,2,female,18.0,1,23.0,S,yes
652,3,male,21.0,0,8.4333,S,no
654,3,female,18.0,0,6.75,Q,no
655,2,male,24.0,2,73.5,S,no
657,3,female,32.0,2,15.5,Q,no
658,2,male,23.0,0,13.0,S,no
659,1,male,58.0,2,113.275,C,no
660,1,male,50.0,2,133.65,S,yes
661,3,male,40.0,0,7.225,C,no
662,1,male,47.0,0,25.5875,S,no
663,3,male,36.0,0,7.4958,S,no
664,3,male,20.0,1,7.925,S,yes
665,2,male,32.0,2,73.5,S,no
666,2,male,25.0,0,13.0,S,no
668,3,male,43.0,0,8.05,S,no
670,2,female,40.0,2,39.0,S,yes
671,1,male,31.0,1,52.0,S,no
672,2,male,70.0,0,10.5,S,no
673,2,male,31.0,0,13.0,S,yes
675,3,male,18.0,0,7.775,S,no
676,3,male,24.5,0,8.05,S,no
677,3,female,18.0,0,9.8417,S,yes
678,3,female,43.0,7,46.9,S,no
679,1,male,36.0,1,512.3292,C,yes
681,1,male,27.0,0,76.7292,C,yes
682,3,male,20.0,0,9.225,S,no
683,3,male,14.0,7,46.9,S,no
684,2,male,60.0,2,39.0,S,no
685,2,male,25.0,3,41.5792,C,no
686,3,male,14.0,5,39.6875,S,no
687,3,male,19.0,0,10.1708,S,no
688,3,male,18.0,0,7.7958,S,no
689,1,female,15.0,1,211.3375,S,yes
690,1,male,31.0,1,57.0,S,yes
691,3,female,4.0,1,13.4167,C,yes
693,3,male,25.0,0,7.225,C,no
694,1,male,60.0,0,26.55,S,no
695,2,male,52.0,0,13.5,S,no
696,3,male,44.0,0,8.05,S,no
698,1,male,49.0,2,110.8833,C,no
699,3,male,42.0,0,7.65,S,no
700,1,female,18.0,1,227.525,C,yes
701,1,male,35.0,0,26.2875,S,yes
702,3,female,18.0,1,14.4542,C,no
703,3,male,25.0,0,7.7417,Q,no
704,3,male,26.0,1,7.8542,S,no
705,2,male,39.0,0,26.0,S,no
706,2,female,45.0,0,13.5,S,yes
707,1,male,42.0,0,26.2875,S,yes
708,1,female,22.0,0,151.55,S,yes
710,1,female,24.0,0,49.5042,C,yes
712,1,male,48.0,1,52.0,S,yes
713,3,male,29.0,0,9.4833,S,no
714,2,male,52.0,0,13.0,S,no
715,3,male,19.0,0,7.65,S,no
716,1,female,38.0,0,227.525,C,yes
717,2,female,27.0,0,10.5,S,yes
719,3,male,33.0,0,7.775,S,no
720,2,female,6.0,1,33.0,S,yes
721,3,male,17.0,1,7.0542,S,no
722,2,male,34.0,0,13.0,S,no
723,2,male,50.0,0,13.0,S,no
724,1,male,27.0,1,53.1,S,yes
725,3,male,20.0,0,8.6625,S,no
726,2,female,30.0,3,21.0,S,yes
728,2,male,25.0,1,26.0,S,no
729,3,female,25.0,1,7.925,S,no
730,1,female,29.0,0,211.3375,S,yes
731,3,male,11.0,0,18.7875,C,no
733,2,male,23.0,0,13.0,S,no
734,2,male,23.0,0,13.0,S,no
735,3,male,28.5,0,16.1,S,no
736,3,female,48.0,4,34.375,S,no
737,1,male,35.0,0,512.3292,C,yes
741,1,male,36.0,1,78.85,S,no
742,1,female,21.0,4,262.375,C,yes
743,3,male,24.0,1,16.1,S,no
744,3,male,31.0,0,7.925,S,yes
745,1,male,70.0,2,71.0,S,no
746,3,male,16.0,2,20.25,S,no
747,2,female,30.0,0,13.0,S,yes
748,1,male,19.0,1,53.1,S,no
749,3,male,31.0,0,7.75,Q,no
750,2,female,4.0,2,23.0,S,yes
751,3,male,6.0,1,12.475,S,yes
752,3,male,33.0,0,9.5,S,no
753,3,male,23.0,0,7.8958,S,no
754,2,female,48.0,3,65.0,S,yes
755,2,male,0.67,2,14.5,S,yes
756,3,male,28.0,0,7.7958,S,no
757,2,male,18.0,0,11.5,S,no
758,3,male,34.0,0,8.05,S,no
759,1,female,33.0,0,86.5,S,yes
761,3,male,41.0,0,7.125,S,no
762,3,male,20.0,0,7.2292,C,yes
763,1,female,36.0,3,120.0,S,yes
764,3,male,16.0,0,7.775,S,no
765,1,female,51.0,1,77.9583,S,yes
767,3,female,30.5,0,7.75,Q,no
769,3,male,32.0,0,8.3625,S,no
770,3,male,24.0,0,9.5,S,no
771,3,male,48.0,0,7.8542,S,no
772,2,female,57.0,0,10.5,S,no
774,2,female,54.0,4,23.0,S,yes
775,3,male,18.0,0,7.75,S,no
777,3,female,5.0,0,12.475,S,yes
779,1,female,43.0,1,211.3375,S,yes
780,3,female,13.0,0,7.2292,C,yes
781,1,female,17.0,1,57.0,S,yes
782,1,male,29.0,0,30.0,S,no
784,3,male,25.0,0,7.05,S,no
785,3,male,25.0,0,7.25,S,no
786,3,female,18.0,0,7.4958,S,yes
787,3,male,8.0,5,29.125,Q,no
788,3,male,1.0,3,20.575,S,yes
789,1,male,46.0,0,79.2,C,no
791,2,male,16.0,0,26.0,S,no
794,3,male,25.0,0,7.8958,S,no
795,2,male,39.0,0,13.0,S,no
796,1,female,49.0,0,25.9292,S,yes
797,3,female,31.0,0,8.6833,S,yes
798,3,male,30.0,0,7.2292,C,no
799,3,female,30.0,2,24.15,S,no
800,2,male,34.0,0,13.0,S,no
801,2,female,31.0,2,26.25,S,yes
802,1,male,11.0,3,120.0,S,yes
803,3,male,0.42,1,8.5167,C,yes
804,3,male,27.0,0,6.975,S,yes
805,3,male,31.0,0,7.775,S,no
806,1,male,39.0,0,0.0,S,no
807,3,female,18.0,0,7.775,S,no
808,2,male,39.0,0,13.0,S,no
809,1,female,33.0,1,53.1,S,yes
810,3,male,26.0,0,7.8875,S,no
811,3,male,39.0,0,24.15,S,no
812,2,male,35.0,0,10.5,S,no
813,3,female,6.0,6,31.275,S,no
814,3,male,30.5,0,8.05,S,no
816,3,female,23.0,0,7.925,S,no
817,2,male,31.0,2,37.0042,C,no
818,3,male,43.0,0,6.45,S,no
819,3,male,10.0,5,27.9,S,no
820,1,female,52.0,2,93.5,S,yes
821,3,male,27.0,0,8.6625,S,yes
822,1,male,38.0,0,0.0,S,no
823,3,female,27.0,1,12.475,S,yes
824,3,male,2.0,5,39.6875,S,no
827,2,male,1.0,2,37.0042,C,yes
830,3,female,15.0,1,14.4542,C,yes
831,2,male,0.83,2,18.75,S,yes
833,3,male,23.0,0,7.8542,S,no
834,3,male,18.0,0,8.3,S,no
835,1,female,39.0,2,83.1583,C,yes
836,3,male,21.0,0,8.6625,S,no
838,3,male,32.0,0,56.4958,S,yes
840,3,male,20.0,0,7.925,S,no
841,2,male,16.0,0,10.5,S,no
842,1,female,30.0,0,31.0,C,yes
843,3,male,34.5,0,6.4375,C,no
