,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,y
70,true,false,false,true,false,false,false,true,true,true,false,false,4.0,true,true,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
71,false,true,true,false,false,false,true,false,true,true,false,false,2.0,true,false,true,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
72,false,false,false,false,false,false,true,false,false,true,true,false,8.0,true,false,false,"clam, crab, crayfish, lobster, octopus, scorpion, seawasp, slug, starfish, worm"
73,false,false,true,false,false,true,false,true,true,false,false,true,0.0,true,false,false,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
74,true,false,false,true,false,true,true,true,true,true,false,true,0.0,false,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
75,true,false,false,true,false,true,true,true,true,true,false,true,2.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
76,false,false,false,false,false,true,true,true,true,false,true,false,0.0,true,false,false,"pitviper, seasnake, slowworm, tortoise, tuatara"
77,false,false,true,false,false,true,true,false,false,false,true,false,0.0,false,false,false,"clam, crab, crayfish, lobster, octopus, scorpion, seawasp, slug, starfish, worm"
78,false,true,true,false,true,true,true,false,true,true,false,false,2.0,true,false,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
79,false,true,true,false,true,true,true,false,true,true,false,false,2.0,true,false,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
80,false,false,true,false,false,false,true,true,true,true,false,false,0.0,true,false,false,"pitviper, seasnake, slowworm, tortoise, tuatara"
81,false,false,true,false,false,false,false,false,false,true,false,false,0.0,false,false,false,"clam, crab, crayfish, lobster, octopus, scorpion, seawasp, slug, starfish, worm"
82,false,false,true,false,false,true,false,true,true,false,false,true,0.0,true,false,false,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
83,false,true,true,false,true,false,false,false,true,true,false,false,2.0,true,false,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
84,true,false,false,true,false,false,false,true,true,true,false,false,2.0,true,false,false,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
85,false,false,true,false,false,true,true,false,false,false,false,false,5.0,false,false,false,"clam, crab, crayfish, lobster, octopus, scorpion, seawasp, slug, starfish, worm"
86,false,false,true,false,false,true,true,true,true,false,true,true,0.0,true,false,true,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
87,false,true,true,false,true,true,false,false,true,true,false,false,2.0,true,false,true,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
88,false,false,true,false,false,false,false,false,false,true,false,false,6.0,false,false,false,"flea, gnat, honeybee, housefly, ladybird, moth, termite, wasp"
89,false,false,true,false,false,true,false,true,true,true,false,false,4.0,false,false,false,"frog, newt, toad"
90,false,false,true,false,false,false,false,false,true,true,false,false,4.0,true,false,true,"pitviper, seasnake, slowworm, tortoise, tuatara"
91,false,false,true,false,false,false,true,true,true,true,false,false,4.0,true,false,false,"pitviper, seasnake, slowworm, tortoise, tuatara"
92,false,false,true,false,false,true,true,true,true,false,false,true,0.0,true,false,true,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
93,true,false,false,true,true,false,false,true,true,true,false,false,2.0,true,false,false,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
94,true,false,false,true,false,false,false,true,true,true,false,false,4.0,true,false,false,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
95,false,true,true,false,true,false,true,false,true,true,false,false,2.0,true,false,true,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
96,true,false,false,true,false,false,false,true,true,true,false,false,2.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
97,true,false,true,false,true,false,false,false,false,true,true,false,6.0,false,false,false,"flea, gnat, honeybee, housefly, ladybird, moth, termite, wasp"
98,true,false,false,true,false,false,true,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
99,false,false,true,false,false,false,false,false,false,true,false,false,0.0,false,false,false,"clam, crab, crayfish, lobster, octopus, scorpion, seawasp, slug, starfish, worm"
100,false,true,true,false,true,false,false,false,true,true,false,false,2.0,true,false,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
