,checking_account_status,duration,credit_history,purpose,credit_amount,savings,present_employment_since,installment_rate,gender,marital_status,other_debtors,residence_since,property,age,other_installment_plans,housing,n_credit_cards,job,n_people_liable,telephone,foreign,y
29,0.0,60.0,A33,business,6836.0,0.0,4.0,3.0,male,single,none,4.0,unknown/none,63.0,none,own,2.0,2.0,1.0,yes,yes,good
30,1.0,18.0,A32,business,1913.0,3.0,1.0,3.0,male,divorced/separated/married,none,3.0,real_estate,36.0,bank,own,1.0,2.0,1.0,yes,yes,bad
31,0.0,24.0,A32,furniture/equipment,4020.0,0.0,2.0,2.0,male,single,none,2.0,car or other,27.0,stores,own,1.0,2.0,1.0,none,yes,bad
32,1.0,18.0,A32,car (new),5866.0,1.0,2.0,2.0,male,single,none,2.0,car or other,30.0,none,own,2.0,2.0,1.0,yes,yes,bad
34,2.0,12.0,A32,furniture/equipment,1474.0,0.0,1.0,4.0,female,divorced/separated/married,none,1.0,building,33.0,bank,own,1.0,3.0,1.0,yes,yes,bad
35,1.0,45.0,A34,radio/TV,4746.0,0.0,1.0,4.0,male,single,none,2.0,building,25.0,none,own,2.0,1.0,1.0,none,yes,good
37,2.0,18.0,A32,radio/TV,2100.0,0.0,2.0,4.0,male,single,co-applicant,2.0,real_estate,37.0,stores,own,1.0,2.0,1.0,none,yes,good
38,2.0,10.0,A32,domestic_appliances,1225.0,0.0,2.0,2.0,male,single,none,2.0,car or other,37.0,none,own,1.0,2.0,1.0,yes,yes,bad
39,1.0,9.0,A32,radio/TV,458.0,0.0,2.0,4.0,male,single,none,3.0,real_estate,24.0,none,own,1.0,2.0,1.0,none,yes,bad
41,1.0,12.0,A32,radio/TV,1158.0,2.0,2.0,3.0,male,divorced/separated/married,none,1.0,car or other,26.0,none,own,1.0,2.0,1.0,yes,yes,bad
42,1.0,18.0,A33,repairs,6204.0,0.0,2.0,2.0,male,single,none,4.0,real_estate,44.0,none,own,1.0,1.0,2.0,yes,yes,bad
43,0.0,30.0,A34,car (used),6187.0,1.0,3.0,1.0,male,divorced/separated/married,none,4.0,car or other,24.0,none,rent,2.0,2.0,1.0,none,yes,bad
44,0.0,48.0,A34,car (used),6143.0,0.0,4.0,4.0,female,divorced/separated/married,none,4.0,unknown/none,58.0,stores,free,2.0,1.0,1.0,none,yes,good
47,0.0,6.0,A32,car (used),1352.0,2.0,0.0,1.0,female,divorced/separated/married,none,2.0,building,23.0,none,rent,1.0,0.0,1.0,yes,yes,bad
51,1.0,27.0,A33,car (used),5965.0,0.0,4.0,1.0,male,single,none,2.0,car or other,30.0,none,own,2.0,3.0,1.0,yes,yes,bad
54,1.0,36.0,A33,car (new),2225.0,0.0,4.0,4.0,male,single,none,4.0,unknown/none,57.0,bank,free,2.0,2.0,1.0,yes,yes,good
58,2.0,18.0,A32,car (new),1961.0,0.0,4.0,3.0,female,divorced/separated/married,none,2.0,car or other,23.0,none,own,1.0,3.0,1.0,none,yes,bad
59,0.0,36.0,A34,furniture/equipment,6229.0,0.0,1.0,4.0,female,divorced/separated/married,co-applicant,4.0,unknown/none,23.0,none,rent,2.0,1.0,1.0,yes,yes,good
60,1.0,9.0,A32,business,1391.0,0.0,2.0,2.0,male,divorced/separated/married,none,1.0,real_estate,27.0,bank,own,1.0,2.0,1.0,yes,yes,bad
62,1.0,36.0,A30,business,1953.0,0.0,4.0,4.0,male,single,none,4.0,unknown/none,61.0,none,free,1.0,3.0,1.0,yes,yes,good
63,1.0,48.0,A30,business,14421.0,0.0,2.0,2.0,male,single,none,2.0,car or other,25.0,none,own,1.0,2.0,1.0,yes,yes,good
67,1.0,12.0,A32,car (new),1007.0,3.0,2.0,4.0,male,divorced/separated/married,none,1.0,real_estate,22.0,none,own,1.0,2.0,1.0,none,yes,bad
72,0.0,8.0,A34,others,1164.0,0.0,4.0,3.0,male,single,none,4.0,unknown/none,51.0,bank,free,2.0,3.0,2.0,yes,yes,bad
73,1.0,42.0,A34,business,5954.0,0.0,3.0,2.0,female,divorced/separated/married,none,1.0,real_estate,41.0,bank,own,2.0,1.0,1.0,none,yes,bad
75,0.0,12.0,A34,car (used),1526.0,0.0,4.0,4.0,male,single,none,4.0,unknown/none,66.0,none,free,2.0,3.0,1.0,none,yes,bad
76,0.0,42.0,A32,radio/TV,3965.0,0.0,1.0,4.0,male,single,none,3.0,car or other,34.0,none,own,1.0,2.0,1.0,none,yes,good
77,1.0,11.0,A33,radio/TV,4771.0,0.0,3.0,2.0,male,single,none,4.0,building,51.0,none,own,1.0,2.0,1.0,none,yes,bad
79,1.0,30.0,A32,furniture/equipment,3832.0,0.0,1.0,2.0,male,divorced/separated/married,none,1.0,building,22.0,none,own,1.0,2.0,1.0,none,yes,bad
83,0.0,24.0,A32,others,1755.0,0.0,4.0,4.0,female,divorced/separated/married,guarantor,4.0,real_estate,58.0,none,own,1.0,1.0,1.0,yes,yes,bad
84,0.0,10.0,A32,radio/TV,2315.0,0.0,4.0,3.0,male,single,none,4.0,real_estate,52.0,none,own,1.0,1.0,1.0,none,yes,bad
86,1.0,18.0,A34,furniture/equipment,1295.0,0.0,1.0,4.0,female,divorced/separated/married,none,1.0,building,27.0,none,own,2.0,2.0,1.0,none,yes,bad
87,1.0,36.0,A32,education,12612.0,1.0,2.0,1.0,male,single,none,4.0,unknown/none,47.0,none,free,1.0,2.0,2.0,yes,yes,good
88,0.0,18.0,A32,car (new),2249.0,1.0,3.0,4.0,male,single,none,3.0,car or other,30.0,none,own,1.0,3.0,2.0,yes,yes,bad
89,0.0,12.0,A30,repairs,1108.0,0.0,3.0,4.0,male,single,none,3.0,real_estate,28.0,none,own,2.0,2.0,1.0,none,yes,good
91,0.0,12.0,A34,car (used),1409.0,0.0,4.0,4.0,male,single,none,3.0,real_estate,54.0,none,own,1.0,2.0,1.0,none,yes,bad
94,1.0,12.0,A32,car (new),1318.0,3.0,4.0,4.0,male,single,none,4.0,real_estate,54.0,none,own,1.0,2.0,1.0,yes,yes,bad
95,1.0,54.0,A30,business,15945.0,0.0,1.0,3.0,male,single,none,4.0,unknown/none,58.0,none,rent,1.0,2.0,1.0,yes,yes,good
97,1.0,18.0,A32,business,2622.0,1.0,2.0,4.0,male,single,none,4.0,car or other,34.0,none,own,1.0,2.0,1.0,none,yes,bad
98,1.0,36.0,A34,radio/TV,2337.0,0.0,4.0,4.0,male,single,none,4.0,real_estate,36.0,none,own,1.0,2.0,1.0,none,yes,bad
101,1.0,36.0,A32,radio/TV,2323.0,0.0,3.0,4.0,male,single,none,4.0,car or other,24.0,none,rent,1.0,2.0,1.0,none,yes,bad
103,1.0,9.0,A34,furniture/equipment,1919.0,0.0,3.0,4.0,male,single,none,3.0,car or other,35.0,none,rent,1.0,2.0,1.0,yes,yes,bad
107,1.0,12.0,A32,car (new),6078.0,0.0,3.0,2.0,male,single,none,2.0,car or other,32.0,none,own,1.0,2.0,1.0,none,yes,bad
109,1.0,14.0,A32,business,1410.0,2.0,4.0,1.0,male,divorced/separated/married,none,2.0,real_estate,35.0,none,own,1.0,2.0,1.0,yes,yes,bad
110,1.0,6.0,A33,business,1449.0,1.0,4.0,1.0,male,divorced/separated/married,none,2.0,car or other,31.0,bank,own,2.0,2.0,2.0,none,yes,bad
111,2.0,15.0,A32,education,392.0,0.0,1.0,4.0,female,divorced/separated/married,none,4.0,building,23.0,none,rent,1.0,2.0,1.0,yes,yes,bad
112,1.0,18.0,A32,car (new),6260.0,0.0,3.0,3.0,male,single,none,3.0,real_estate,28.0,none,rent,1.0,1.0,1.0,none,yes,bad
114,0.0,12.0,A32,radio/TV,1680.0,2.0,4.0,3.0,male,divorced/separated/married,none,1.0,real_estate,35.0,none,own,1.0,2.0,1.0,none,yes,bad
118,0.0,33.0,A34,furniture/equipment,4281.0,2.0,2.0,1.0,female,divorced/separated/married,none,4.0,car or other,23.0,none,own,2.0,2.0,1.0,none,yes,good
119,1.0,12.0,A34,car (new),2366.0,2.0,3.0,3.0,male,divorced/separated/married,none,3.0,car or other,36.0,none,own,1.0,3.0,1.0,yes,yes,bad
120,0.0,21.0,A32,radio/TV,1835.0,0.0,2.0,3.0,female,divorced/separated/married,none,2.0,real_estate,25.0,none,own,2.0,2.0,1.0,yes,yes,good
123,2.0,10.0,A34,car (new),781.0,0.0,4.0,4.0,male,single,none,4.0,unknown/none,63.0,none,free,2.0,2.0,1.0,yes,yes,bad
125,0.0,12.0,A34,car (new),2121.0,0.0,2.0,4.0,male,single,none,2.0,building,30.0,none,own,2.0,2.0,1.0,none,yes,bad
126,0.0,12.0,A32,radio/TV,701.0,0.0,2.0,4.0,male,divorced/separated/married,none,2.0,real_estate,40.0,none,own,1.0,1.0,1.0,none,yes,bad
127,1.0,12.0,A32,repairs,639.0,0.0,2.0,4.0,male,single,none,2.0,car or other,30.0,none,own,1.0,2.0,1.0,none,yes,good
128,1.0,12.0,A34,car (used),1860.0,0.0,0.0,4.0,male,single,none,2.0,car or other,34.0,none,own,2.0,3.0,1.0,yes,yes,bad
129,0.0,12.0,A34,car (new),3499.0,0.0,2.0,3.0,female,divorced/separated/married,co-applicant,2.0,real_estate,29.0,none,own,2.0,2.0,1.0,none,yes,good
131,0.0,36.0,A33,education,6887.0,0.0,2.0,4.0,male,single,none,3.0,building,29.0,stores,own,1.0,2.0,1.0,yes,yes,good
137,1.0,12.0,A32,radio/TV,766.0,2.0,2.0,4.0,male,single,none,3.0,real_estate,66.0,none,own,1.0,1.0,1.0,none,yes,good
139,2.0,12.0,A32,radio/TV,1881.0,0.0,2.0,2.0,female,divorced/separated/married,none,2.0,car or other,44.0,none,rent,1.0,1.0,1.0,yes,yes,bad
140,2.0,6.0,A32,car (new),709.0,3.0,1.0,2.0,male,divorced/separated/married,none,2.0,real_estate,27.0,none,own,1.0,0.0,1.0,none,no,bad
141,1.0,36.0,A32,radio/TV,4795.0,0.0,1.0,4.0,female,divorced/separated/married,none,1.0,unknown/none,30.0,none,own,1.0,3.0,1.0,yes,yes,bad
142,0.0,27.0,A32,radio/TV,3416.0,0.0,2.0,3.0,male,single,none,2.0,car or other,27.0,none,own,1.0,3.0,1.0,none,yes,bad
143,0.0,18.0,A32,furniture/equipment,2462.0,0.0,2.0,2.0,male,single,none,2.0,car or other,22.0,none,own,1.0,2.0,1.0,none,yes,good
145,1.0,48.0,A31,business,3566.0,1.0,3.0,4.0,male,single,none,2.0,car or other,30.0,none,own,1.0,2.0,1.0,none,yes,bad
146,0.0,6.0,A34,car (new),860.0,0.0,4.0,1.0,female,divorced/separated/married,none,4.0,unknown/none,39.0,none,own,2.0,2.0,1.0,yes,yes,bad
148,0.0,36.0,A34,furniture/equipment,5371.0,0.0,2.0,3.0,male,single,guarantor,2.0,building,28.0,none,own,2.0,2.0,1.0,none,yes,bad
152,2.0,36.0,A32,radio/TV,5848.0,0.0,2.0,4.0,male,single,none,1.0,car or other,24.0,none,own,1.0,2.0,1.0,none,yes,bad
153,1.0,24.0,A34,car (used),7758.0,3.0,4.0,2.0,female,divorced/separated/married,none,4.0,unknown/none,29.0,none,rent,1.0,2.0,1.0,none,yes,bad
154,1.0,24.0,A33,business,6967.0,1.0,3.0,4.0,male,single,none,4.0,car or other,36.0,none,rent,1.0,3.0,1.0,yes,yes,bad
155,0.0,12.0,A32,furniture/equipment,1282.0,0.0,2.0,2.0,female,divorced/separated/married,none,4.0,car or other,20.0,none,rent,1.0,2.0,1.0,none,yes,good
156,0.0,9.0,A34,repairs,1288.0,1.0,4.0,3.0,male,single,guarantor,4.0,real_estate,48.0,none,own,2.0,2.0,2.0,none,no,bad
157,0.0,12.0,A31,retraining,339.0,0.0,4.0,4.0,male,divorced/separated/married,none,1.0,car or other,45.0,bank,own,1.0,1.0,1.0,none,yes,bad
158,1.0,24.0,A32,car (new),3512.0,1.0,3.0,2.0,male,single,none,3.0,car or other,38.0,bank,own,2.0,2.0,1.0,yes,yes,bad
163,1.0,10.0,A32,car (new),7308.0,0.0,0.0,2.0,male,single,none,4.0,unknown/none,70.0,bank,free,1.0,3.0,1.0,yes,yes,bad
166,0.0,18.0,A32,furniture/equipment,1131.0,0.0,0.0,4.0,female,divorced/separated/married,none,2.0,car or other,33.0,none,own,1.0,2.0,1.0,none,yes,good
167,1.0,11.0,A32,furniture/equipment,1577.0,3.0,1.0,4.0,female,divorced/separated/married,none,1.0,real_estate,20.0,none,own,1.0,2.0,1.0,none,yes,bad
169,1.0,24.0,A34,business,1935.0,0.0,4.0,4.0,male,divorced/separated/married,none,4.0,real_estate,31.0,none,own,2.0,2.0,1.0,yes,yes,good
170,0.0,15.0,A30,car (new),950.0,0.0,4.0,4.0,male,single,none,3.0,car or other,33.0,none,rent,2.0,2.0,2.0,none,yes,good
172,1.0,24.0,A33,furniture/equipment,2064.0,0.0,0.0,3.0,female,divorced/separated/married,none,2.0,building,34.0,none,own,1.0,3.0,1.0,yes,yes,good
173,1.0,8.0,A32,radio/TV,1414.0,0.0,2.0,4.0,male,single,guarantor,2.0,real_estate,33.0,none,own,1.0,2.0,1.0,none,no,bad
174,0.0,21.0,A33,education,3414.0,0.0,1.0,2.0,male,single,none,1.0,building,26.0,none,own,2.0,2.0,1.0,none,yes,good
176,0.0,12.0,A32,furniture/equipment,2577.0,0.0,2.0,2.0,male,divorced/separated/married,none,1.0,car or other,42.0,none,own,1.0,2.0,1.0,none,yes,bad
177,0.0,6.0,A34,radio/TV,338.0,2.0,4.0,4.0,male,single,none,4.0,car or other,52.0,none,own,2.0,2.0,1.0,none,yes,bad
179,0.0,21.0,A34,car (new),571.0,0.0,4.0,4.0,male,single,none,4.0,real_estate,65.0,none,own,2.0,2.0,1.0,none,yes,bad
181,1.0,36.0,A33,business,4455.0,0.0,2.0,2.0,male,divorced/separated/married,none,2.0,real_estate,30.0,stores,own,2.0,3.0,1.0,yes,yes,good
184,1.0,18.0,A34,car (new),884.0,0.0,4.0,4.0,male,single,none,4.0,car or other,36.0,bank,own,1.0,2.0,2.0,yes,yes,good
186,1.0,9.0,A31,car (used),5129.0,0.0,4.0,2.0,female,divorced/separated/married,none,4.0,unknown/none,74.0,bank,free,1.0,3.0,2.0,yes,yes,good
187,1.0,16.0,A34,car (new),1175.0,0.0,0.0,2.0,male,single,none,3.0,car or other,68.0,none,free,3.0,0.0,1.0,yes,yes,bad
188,0.0,12.0,A32,radio/TV,674.0,1.0,3.0,4.0,male,divorced/separated/married,none,1.0,building,20.0,none,own,1.0,2.0,1.0,none,yes,good
189,1.0,18.0,A30,furniture/equipment,3244.0,0.0,2.0,1.0,female,divorced/separated/married,none,4.0,car or other,33.0,bank,own,2.0,2.0,1.0,yes,yes,bad
191,1.0,48.0,A30,business,3844.0,1.0,3.0,4.0,male,single,none,4.0,unknown/none,34.0,none,free,1.0,1.0,2.0,none,yes,good
192,1.0,27.0,A32,business,3915.0,0.0,2.0,4.0,male,single,none,2.0,car or other,36.0,none,own,1.0,2.0,2.0,yes,yes,good
194,1.0,45.0,A32,radio/TV,3031.0,1.0,2.0,4.0,male,single,guarantor,4.0,building,21.0,none,rent,1.0,2.0,1.0,none,yes,good
195,1.0,9.0,A34,education,1501.0,0.0,4.0,2.0,female,divorced/separated/married,none,3.0,car or other,34.0,none,own,2.0,3.0,1.0,yes,yes,good
197,1.0,12.0,A32,furniture/equipment,951.0,1.0,1.0,4.0,female,divorced/separated/married,none,4.0,car or other,27.0,bank,rent,4.0,2.0,1.0,none,yes,good
199,1.0,18.0,A33,furniture/equipment,4297.0,0.0,4.0,4.0,male,divorced/separated/married,none,3.0,unknown/none,40.0,none,own,1.0,3.0,1.0,yes,yes,good
201,0.0,12.0,A32,car (new),1168.0,0.0,2.0,4.0,male,divorced/separated/married,none,3.0,real_estate,27.0,none,own,1.0,1.0,1.0,none,yes,bad
203,0.0,12.0,A32,retraining,902.0,0.0,3.0,4.0,male,divorced/separated/married,none,4.0,building,21.0,none,rent,1.0,2.0,1.0,none,yes,good
205,0.0,30.0,A34,car (used),10623.0,0.0,4.0,3.0,male,single,none,4.0,unknown/none,38.0,none,free,3.0,3.0,2.0,yes,yes,bad
207,1.0,12.0,A34,domestic_appliances,1424.0,0.0,3.0,4.0,male,single,none,3.0,building,26.0,none,own,1.0,2.0,1.0,none,yes,bad
208,0.0,24.0,A32,business,6568.0,0.0,2.0,2.0,male,divorced/separated/married,none,2.0,car or other,21.0,stores,own,1.0,1.0,1.0,none,yes,bad
212,0.0,27.0,A30,business,5293.0,0.0,0.0,2.0,male,single,none,4.0,building,50.0,stores,own,2.0,2.0,1.0,yes,yes,good
213,2.0,30.0,A33,business,1908.0,0.0,4.0,4.0,male,single,none,4.0,real_estate,66.0,none,own,1.0,3.0,1.0,yes,yes,good
216,0.0,18.0,A30,business,3104.0,0.0,3.0,3.0,male,single,none,1.0,building,31.0,bank,own,1.0,2.0,1.0,yes,yes,bad
217,2.0,36.0,A32,radio/TV,3913.0,0.0,2.0,2.0,male,single,none,2.0,real_estate,23.0,none,own,1.0,2.0,1.0,yes,yes,bad
218,0.0,24.0,A32,furniture/equipment,3021.0,0.0,2.0,2.0,male,divorced/separated/married,none,2.0,real_estate,24.0,none,rent,1.0,1.0,1.0,none,yes,bad
220,1.0,12.0,A32,radio/TV,625.0,0.0,1.0,4.0,male,divorced/separated/married,guarantor,1.0,real_estate,26.0,bank,own,1.0,1.0,1.0,none,yes,bad
226,1.0,48.0,A32,radio/TV,10961.0,3.0,3.0,1.0,male,single,co-applicant,2.0,unknown/none,27.0,bank,own,2.0,2.0,1.0,yes,yes,good
227,0.0,12.0,A32,furniture/equipment,7865.0,0.0,4.0,4.0,male,single,none,4.0,unknown/none,53.0,none,free,1.0,3.0,1.0,yes,yes,good
229,0.0,24.0,A32,furniture/equipment,3149.0,0.0,1.0,4.0,male,single,none,1.0,unknown/none,22.0,bank,free,1.0,2.0,1.0,none,yes,bad
230,2.0,36.0,A32,radio/TV,4210.0,0.0,2.0,4.0,male,single,none,2.0,car or other,26.0,none,own,1.0,2.0,1.0,none,yes,good
233,1.0,18.0,A32,radio/TV,866.0,0.0,2.0,4.0,male,divorced/separated/married,guarantor,2.0,real_estate,25.0,none,own,1.0,1.0,1.0,none,yes,bad
235,0.0,24.0,A32,radio/TV,1823.0,0.0,0.0,4.0,male,single,none,2.0,car or other,30.0,stores,own,1.0,3.0,2.0,none,yes,good
237,1.0,21.0,A32,business,2767.0,1.0,4.0,4.0,male,divorced/separated/married,none,2.0,car or other,61.0,bank,rent,2.0,1.0,1.0,none,yes,good
239,0.0,30.0,A32,radio/TV,2522.0,0.0,4.0,1.0,male,single,guarantor,3.0,building,39.0,none,own,1.0,2.0,2.0,none,yes,bad
242,0.0,48.0,A30,car (used),4605.0,0.0,4.0,3.0,male,single,none,4.0,unknown/none,24.0,none,free,2.0,2.0,2.0,none,yes,good
248,2.0,24.0,A32,furniture/equipment,1925.0,0.0,2.0,2.0,male,single,none,2.0,real_estate,26.0,none,own,1.0,2.0,1.0,none,yes,bad
250,0.0,6.0,A34,car (new),666.0,3.0,3.0,3.0,female,divorced/separated/married,none,4.0,real_estate,39.0,none,own,2.0,1.0,1.0,yes,yes,bad
251,2.0,12.0,A32,furniture/equipment,2251.0,0.0,2.0,1.0,female,divorced/separated/married,none,2.0,car or other,46.0,none,own,1.0,1.0,1.0,none,yes,bad
252,1.0,30.0,A32,car (new),2150.0,0.0,2.0,4.0,female,divorced/separated/married,guarantor,2.0,unknown/none,24.0,bank,own,1.0,2.0,1.0,none,yes,good
257,0.0,12.0,A31,radio/TV,2149.0,0.0,2.0,4.0,male,divorced/separated/married,none,1.0,unknown/none,29.0,none,free,1.0,2.0,1.0,none,yes,good
260,0.0,12.0,A32,furniture/equipment,1657.0,0.0,2.0,2.0,male,single,none,2.0,real_estate,27.0,none,own,1.0,2.0,1.0,none,yes,bad
261,0.0,24.0,A32,radio/TV,1603.0,0.0,4.0,4.0,female,divorced/separated/married,none,4.0,car or other,55.0,none,own,1.0,2.0,1.0,none,yes,bad
262,0.0,18.0,A34,car (new),5302.0,0.0,4.0,2.0,male,single,none,4.0,unknown/none,36.0,none,free,3.0,3.0,1.0,yes,yes,bad
265,1.0,15.0,A32,radio/TV,802.0,0.0,4.0,4.0,male,single,none,3.0,car or other,37.0,none,own,1.0,2.0,2.0,none,yes,good
268,0.0,14.0,A32,car (new),8978.0,0.0,4.0,1.0,male,divorced/separated/married,none,4.0,building,45.0,none,own,1.0,3.0,1.0,yes,no,good
273,1.0,48.0,A32,radio/TV,3060.0,0.0,3.0,4.0,male,single,none,4.0,real_estate,28.0,none,own,2.0,2.0,1.0,none,yes,good
274,0.0,30.0,A32,repairs,11998.0,0.0,1.0,1.0,male,divorced/separated/married,none,1.0,unknown/none,34.0,none,own,1.0,1.0,1.0,yes,yes,good
284,1.0,24.0,A34,car (new),3878.0,1.0,1.0,4.0,male,divorced/separated/married,none,2.0,car or other,37.0,none,own,1.0,2.0,1.0,yes,yes,bad
285,0.0,47.0,A32,car (new),10722.0,0.0,1.0,1.0,female,divorced/separated/married,none,1.0,real_estate,35.0,none,own,1.0,1.0,1.0,yes,yes,bad
286,0.0,48.0,A32,car (used),4788.0,0.0,3.0,4.0,male,single,none,3.0,building,26.0,none,own,1.0,2.0,2.0,none,yes,bad
287,1.0,48.0,A33,others,7582.0,1.0,0.0,2.0,male,single,none,4.0,unknown/none,31.0,none,free,1.0,3.0,1.0,yes,yes,bad
288,1.0,12.0,A32,radio/TV,1092.0,0.0,2.0,4.0,female,divorced/separated/married,guarantor,4.0,real_estate,49.0,none,own,2.0,2.0,1.0,yes,yes,bad
289,0.0,24.0,A33,radio/TV,1024.0,0.0,1.0,4.0,male,divorced/separated/married,none,4.0,real_estate,48.0,stores,own,1.0,2.0,1.0,none,yes,good
291,1.0,36.0,A32,car (used),9398.0,0.0,1.0,1.0,male,divorced/separated/married,none,4.0,car or other,28.0,none,rent,1.0,3.0,1.0,yes,yes,good
292,0.0,24.0,A34,car (used),6419.0,0.0,4.0,2.0,female,divorced/separated/married,none,4.0,unknown/none,44.0,none,free,2.0,3.0,2.0,yes,yes,bad
293,2.0,42.0,A34,car (used),4796.0,0.0,4.0,4.0,male,single,none,4.0,unknown/none,56.0,none,free,1.0,2.0,1.0,none,yes,bad
295,1.0,48.0,A32,furniture/equipment,9960.0,0.0,1.0,1.0,female,divorced/separated/married,none,2.0,car or other,26.0,none,own,1.0,2.0,1.0,yes,yes,good
299,1.0,21.0,A34,furniture/equipment,2745.0,3.0,3.0,3.0,male,single,none,2.0,car or other,32.0,none,own,2.0,2.0,1.0,yes,yes,bad
301,1.0,36.0,A30,radio/TV,3804.0,0.0,2.0,4.0,female,divorced/separated/married,none,1.0,car or other,42.0,none,own,1.0,2.0,1.0,yes,yes,good
303,0.0,10.0,A34,car (new),1038.0,0.0,3.0,4.0,male,single,co-applicant,3.0,building,49.0,none,own,2.0,2.0,1.0,yes,yes,bad
307,0.0,12.0,A32,radio/TV,727.0,1.0,1.0,4.0,male,divorced/separated/married,none,3.0,unknown/none,33.0,none,own,1.0,1.0,1.0,yes,yes,good
308,1.0,8.0,A32,furniture/equipment,1237.0,0.0,2.0,3.0,female,divorced/separated/married,none,4.0,real_estate,24.0,none,own,1.0,2.0,1.0,none,yes,good
309,1.0,9.0,A32,car (new),276.0,0.0,2.0,4.0,male,divorced/separated/married,none,4.0,real_estate,22.0,none,rent,1.0,1.0,1.0,none,yes,bad
312,2.0,24.0,A32,furniture/equipment,3749.0,0.0,1.0,2.0,female,divorced/separated/married,none,4.0,car or other,26.0,none,own,1.0,2.0,1.0,none,yes,bad
313,1.0,12.0,A32,car (new),685.0,0.0,3.0,2.0,male,divorced/separated/married,none,3.0,car or other,25.0,bank,own,1.0,1.0,1.0,none,yes,good
315,0.0,36.0,A31,furniture/equipment,2746.0,0.0,4.0,4.0,male,single,none,4.0,car or other,31.0,bank,own,1.0,2.0,1.0,none,yes,good
316,0.0,12.0,A32,furniture/equipment,708.0,0.0,2.0,2.0,male,single,guarantor,3.0,building,38.0,none,own,1.0,1.0,2.0,none,yes,bad
319,0.0,15.0,A33,furniture/equipment,3643.0,0.0,4.0,1.0,female,divorced/separated/married,none,4.0,building,27.0,none,own,2.0,1.0,1.0,none,yes,bad
320,1.0,30.0,A34,car (new),4249.0,0.0,0.0,4.0,male,divorced/separated/married,none,2.0,car or other,28.0,none,own,2.0,3.0,1.0,none,yes,good
321,0.0,24.0,A32,radio/TV,1938.0,0.0,1.0,4.0,male,divorced/separated/married,none,3.0,building,32.0,none,own,1.0,2.0,1.0,none,yes,good
