,y,left_weight,left_distance,right_weight,right_distance
83,right,1.0,4.0,2.0,4.0
84,right,1.0,4.0,2.0,5.0
85,left,1.0,4.0,3.0,1.0
86,right,1.0,4.0,3.0,2.0
87,right,1.0,4.0,3.0,3.0
88,right,1.0,4.0,3.0,4.0
89,right,1.0,4.0,3.0,5.0
90,balance,1.0,4.0,4.0,1.0
91,right,1.0,4.0,4.0,2.0
92,right,1.0,4.0,4.0,3.0
93,right,1.0,4.0,4.0,4.0
94,right,1.0,4.0,4.0,5.0
95,right,1.0,4.0,5.0,1.0
96,right,1.0,4.0,5.0,2.0
97,right,1.0,4.0,5.0,3.0
98,right,1.0,4.0,5.0,4.0
99,right,1.0,4.0,5.0,5.0
100,left,1.0,5.0,1.0,1.0
101,left,1.0,5.0,1.0,2.0
102,left,1.0,5.0,1.0,3.0
103,left,1.0,5.0,1.0,4.0
104,balance,1.0,5.0,1.0,5.0
105,left,1.0,5.0,2.0,1.0
106,left,1.0,5.0,2.0,2.0
107,right,1.0,5.0,2.0,3.0
108,right,1.0,5.0,2.0,4.0
109,right,1.0,5.0,2.0,5.0
110,left,1.0,5.0,3.0,1.0
111,right,1.0,5.0,3.0,2.0
112,right,1.0,5.0,3.0,3.0
113,right,1.0,5.0,3.0,4.0
114,right,1.0,5.0,3.0,5.0
115,left,1.0,5.0,4.0,1.0
116,right,1.0,5.0,4.0,2.0
117,right,1.0,5.0,4.0,3.0
118,right,1.0,5.0,4.0,4.0
119,right,1.0,5.0,4.0,5.0
120,balance,1.0,5.0,5.0,1.0
121,right,1.0,5.0,5.0,2.0
122,right,1.0,5.0,5.0,3.0
123,right,1.0,5.0,5.0,4.0
124,right,1.0,5.0,5.0,5.0
125,left,2.0,1.0,1.0,1.0
126,balance,2.0,1.0,1.0,2.0
127,right,2.0,1.0,1.0,3.0
128,right,2.0,1.0,1.0,4.0
129,right,2.0,1.0,1.0,5.0
130,balance,2.0,1.0,2.0,1.0
131,right,2.0,1.0,2.0,2.0
132,right,2.0,1.0,2.0,3.0
133,right,2.0,1.0,2.0,4.0
134,right,2.0,1.0,2.0,5.0
135,right,2.0,1.0,3.0,1.0
136,right,2.0,1.0,3.0,2.0
137,right,2.0,1.0,3.0,3.0
138,right,2.0,1.0,3.0,4.0
139,right,2.0,1.0,3.0,5.0
140,right,2.0,1.0,4.0,1.0
141,right,2.0,1.0,4.0,2.0
142,right,2.0,1.0,4.0,3.0
143,right,2.0,1.0,4.0,4.0
144,right,2.0,1.0,4.0,5.0
145,right,2.0,1.0,5.0,1.0
146,right,2.0,1.0,5.0,2.0
147,right,2.0,1.0,5.0,3.0
148,right,2.0,1.0,5.0,4.0
149,right,2.0,1.0,5.0,5.0
150,left,2.0,2.0,1.0,1.0
151,left,2.0,2.0,1.0,2.0
152,left,2.0,2.0,1.0,3.0
153,balance,2.0,2.0,1.0,4.0
154,right,2.0,2.0,1.0,5.0
155,left,2.0,2.0,2.0,1.0
156,balance,2.0,2.0,2.0,2.0
157,right,2.0,2.0,2.0,3.0
158,right,2.0,2.0,2.0,4.0
159,right,2.0,2.0,2.0,5.0
160,left,2.0,2.0,3.0,1.0
161,right,2.0,2.0,3.0,2.0
162,right,2.0,2.0,3.0,3.0
163,right,2.0,2.0,3.0,4.0
164,right,2.0,2.0,3.0,5.0
165,balance,2.0,2.0,4.0,1.0
166,right,2.0,2.0,4.0,2.0
167,right,2.0,2.0,4.0,3.0
168,right,2.0,2.0,4.0,4.0
169,right,2.0,2.0,4.0,5.0
170,right,2.0,2.0,5.0,1.0
171,right,2.0,2.0,5.0,2.0
172,right,2.0,2.0,5.0,3.0
173,right,2.0,2.0,5.0,4.0
174,right,2.0,2.0,5.0,5.0
175,left,2.0,3.0,1.0,1.0
176,left,2.0,3.0,1.0,2.0
177,left,2.0,3.0,1.0,3.0
178,left,2.0,3.0,1.0,4.0
179,left,2.0,3.0,1.0,5.0
180,left,2.0,3.0,2.0,1.0
181,left,2.0,3.0,2.0,2.0
182,balance,2.0,3.0,2.0,3.0
183,right,2.0,3.0,2.0,4.0
184,right,2.0,3.0,2.0,5.0
185,left,2.0,3.0,3.0,1.0
186,balance,2.0,3.0,3.0,2.0
187,right,2.0,3.0,3.0,3.0
188,right,2.0,3.0,3.0,4.0
189,right,2.0,3.0,3.0,5.0
190,left,2.0,3.0,4.0,1.0
191,right,2.0,3.0,4.0,2.0
192,right,2.0,3.0,4.0,3.0
193,right,2.0,3.0,4.0,4.0
194,right,2.0,3.0,4.0,5.0
195,left,2.0,3.0,5.0,1.0
196,right,2.0,3.0,5.0,2.0
197,right,2.0,3.0,5.0,3.0
198,right,2.0,3.0,5.0,4.0
199,right,2.0,3.0,5.0,5.0
200,left,2.0,4.0,1.0,1.0
201,left,2.0,4.0,1.0,2.0
202,left,2.0,4.0,1.0,3.0
203,left,2.0,4.0,1.0,4.0
204,left,2.0,4.0,1.0,5.0
205,left,2.0,4.0,2.0,1.0
206,left,2.0,4.0,2.0,2.0
207,left,2.0,4.0,2.0,3.0
208,balance,2.0,4.0,2.0,4.0
209,right,2.0,4.0,2.0,5.0
210,left,2.0,4.0,3.0,1.0
211,left,2.0,4.0,3.0,2.0
212,right,2.0,4.0,3.0,3.0
213,right,2.0,4.0,3.0,4.0
214,right,2.0,4.0,3.0,5.0
215,left,2.0,4.0,4.0,1.0
216,balance,2.0,4.0,4.0,2.0
217,right,2.0,4.0,4.0,3.0
218,right,2.0,4.0,4.0,4.0
219,right,2.0,4.0,4.0,5.0
220,left,2.0,4.0,5.0,1.0
221,right,2.0,4.0,5.0,2.0
222,right,2.0,4.0,5.0,3.0
223,right,2.0,4.0,5.0,4.0
224,right,2.0,4.0,5.0,5.0
225,left,2.0,5.0,1.0,1.0
226,left,2.0,5.0,1.0,2.0
227,left,2.0,5.0,1.0,3.0
228,left,2.0,5.0,1.0,4.0
229,left,2.0,5.0,1.0,5.0
230,left,2.0,5.0,2.0,1.0
231,left,2.0,5.0,2.0,2.0
232,left,2.0,5.0,2.0,3.0
233,left,2.0,5.0,2.0,4.0
234,balance,2.0,5.0,2.0,5.0
235,left,2.0,5.0,3.0,1.0
236,left,2.0,5.0,3.0,2.0
237,left,2.0,5.0,3.0,3.0
238,right,2.0,5.0,3.0,4.0
239,right,2.0,5.0,3.0,5.0
240,left,2.0,5.0,4.0,1.0
241,left,2.0,5.0,4.0,2.0
242,right,2.0,5.0,4.0,3.0
243,right,2.0,5.0,4.0,4.0
244,right,2.0,5.0,4.0,5.0
245,left,2.0,5.0,5.0,1.0
246,balance,2.0,5.0,5.0,2.0
247,right,2.0,5.0,5.0,3.0
248,right,2.0,5.0,5.0,4.0
249,right,2.0,5.0,5.0,5.0
250,left,3.0,1.0,1.0,1.0
251,left,3.0,1.0,1.0,2.0
252,balance,3.0,1.0,1.0,3.0
253,right,3.0,1.0,1.0,4.0
254,right,3.0,1.0,1.0,5.0
255,left,3.0,1.0,2.0,1.0
256,right,3.0,1.0,2.0,2.0
257,right,3.0,1.0,2.0,3.0
258,right,3.0,1.0,2.0,4.0
259,right,3.0,1.0,2.0,5.0
260,balance,3.0,1.0,3.0,1.0
261,right,3.0,1.0,3.0,2.0
262,right,3.0,1.0,3.0,3.0
263,right,3.0,1.0,3.0,4.0
264,right,3.0,1.0,3.0,5.0
265,right,3.0,1.0,4.0,1.0
266,right,3.0,1.0,4.0,2.0
267,right,3.0,1.0,4.0,3.0
268,right,3.0,1.0,4.0,4.0
269,right,3.0,1.0,4.0,5.0
270,right,3.0,1.0,5.0,1.0
271,right,3.0,1.0,5.0,2.0
272,right,3.0,1.0,5.0,3.0
273,right,3.0,1.0,5.0,4.0
274,right,3.0,1.0,5.0,5.0
275,left,3.0,2.0,1.0,1.0
276,left,3.0,2.0,1.0,2.0
277,left,3.0,2.0,1.0,3.0
278,left,3.0,2.0,1.0,4.0
279,left,3.0,2.0,1.0,5.0
280,left,3.0,2.0,2.0,1.0
281,left,3.0,2.0,2.0,2.0
282,balance,3.0,2.0,2.0,3.0
283,right,3.0,2.0,2.0,4.0
284,right,3.0,2.0,2.0,5.0
285,left,3.0,2.0,3.0,1.0
286,balance,3.0,2.0,3.0,2.0
287,right,3.0,2.0,3.0,3.0
288,right,3.0,2.0,3.0,4.0
289,right,3.0,2.0,3.0,5.0
290,left,3.0,2.0,4.0,1.0
291,right,3.0,2.0,4.0,2.0
292,right,3.0,2.0,4.0,3.0
293,right,3.0,2.0,4.0,4.0
294,right,3.0,2.0,4.0,5.0
295,left,3.0,2.0,5.0,1.0
296,right,3.0,2.0,5.0,2.0
297,right,3.0,2.0,5.0,3.0
298,right,3.0,2.0,5.0,4.0
299,right,3.0,2.0,5.0,5.0
300,left,3.0,3.0,1.0,1.0
301,left,3.0,3.0,1.0,2.0
302,left,3.0,3.0,1.0,3.0
303,left,3.0,3.0,1.0,4.0
304,left,3.0,3.0,1.0,5.0
305,left,3.0,3.0,2.0,1.0
306,left,3.0,3.0,2.0,2.0
307,left,3.0,3.0,2.0,3.0
308,left,3.0,3.0,2.0,4.0
309,right,3.0,3.0,2.0,5.0
310,left,3.0,3.0,3.0,1.0
311,left,3.0,3.0,3.0,2.0
312,balance,3.0,3.0,3.0,3.0
313,right,3.0,3.0,3.0,4.0
314,right,3.0,3.0,3.0,5.0
315,left,3.0,3.0,4.0,1.0
316,left,3.0,3.0,4.0,2.0
317,right,3.0,3.0,4.0,3.0
318,right,3.0,3.0,4.0,4.0
319,right,3.0,3.0,4.0,5.0
320,left,3.0,3.0,5.0,1.0
321,right,3.0,3.0,5.0,2.0
322,right,3.0,3.0,5.0,3.0
323,right,3.0,3.0,5.0,4.0
324,right,3.0,3.0,5.0,5.0
325,left,3.0,4.0,1.0,1.0
326,left,3.0,4.0,1.0,2.0
327,left,3.0,4.0,1.0,3.0
328,left,3.0,4.0,1.0,4.0
329,left,3.0,4.0,1.0,5.0
330,left,3.0,4.0,2.0,1.0
331,left,3.0,4.0,2.0,2.0
332,left,3.0,4.0,2.0,3.0
333,left,3.0,4.0,2.0,4.0
334,left,3.0,4.0,2.0,5.0
335,left,3.0,4.0,3.0,1.0
336,left,3.0,4.0,3.0,2.0
337,left,3.0,4.0,3.0,3.0
338,balance,3.0,4.0,3.0,4.0
339,right,3.0,4.0,3.0,5.0
340,left,3.0,4.0,4.0,1.0
341,left,3.0,4.0,4.0,2.0
342,balance,3.0,4.0,4.0,3.0
343,right,3.0,4.0,4.0,4.0
344,right,3.0,4.0,4.0,5.0
345,left,3.0,4.0,5.0,1.0
346,left,3.0,4.0,5.0,2.0
347,right,3.0,4.0,5.0,3.0
348,right,3.0,4.0,5.0,4.0
349,right,3.0,4.0,5.0,5.0
350,left,3.0,5.0,1.0,1.0
351,left,3.0,5.0,1.0,2.0
352,left,3.0,5.0,1.0,3.0
353,left,3.0,5.0,1.0,4.0
354,left,3.0,5.0,1.0,5.0
355,left,3.0,5.0,2.0,1.0
356,left,3.0,5.0,2.0,2.0
357,left,3.0,5.0,2.0,3.0
358,left,3.0,5.0,2.0,4.0
359,left,3.0,5.0,2.0,5.0
360,left,3.0,5.0,3.0,1.0
361,left,3.0,5.0,3.0,2.0
362,left,3.0,5.0,3.0,3.0
363,left,3.0,5.0,3.0,4.0
364,balance,3.0,5.0,3.0,5.0
365,left,3.0,5.0,4.0,1.0
366,left,3.0,5.0,4.0,2.0
367,left,3.0,5.0,4.0,3.0
368,right,3.0,5.0,4.0,4.0
369,right,3.0,5.0,4.0,5.0
370,left,3.0,5.0,5.0,1.0
371,left,3.0,5.0,5.0,2.0
372,balance,3.0,5.0,5.0,3.0
373,right,3.0,5.0,5.0,4.0
374,right,3.0,5.0,5.0,5.0
375,left,4.0,1.0,1.0,1.0
376,left,4.0,1.0,1.0,2.0
377,left,4.0,1.0,1.0,3.0
378,balance,4.0,1.0,1.0,4.0
379,right,4.0,1.0,1.0,5.0
380,left,4.0,1.0,2.0,1.0
381,balance,4.0,1.0,2.0,2.0
382,right,4.0,1.0,2.0,3.0
383,right,4.0,1.0,2.0,4.0
384,right,4.0,1.0,2.0,5.0
385,left,4.0,1.0,3.0,1.0
386,right,4.0,1.0,3.0,2.0
387,right,4.0,1.0,3.0,3.0
388,right,4.0,1.0,3.0,4.0
389,right,4.0,1.0,3.0,5.0
390,balance,4.0,1.0,4.0,1.0
391,right,4.0,1.0,4.0,2.0
392,right,4.0,1.0,4.0,3.0
393,right,4.0,1.0,4.0,4.0
394,right,4.0,1.0,4.0,5.0
395,right,4.0,1.0,5.0,1.0
396,right,4.0,1.0,5.0,2.0
397,right,4.0,1.0,5.0,3.0
398,right,4.0,1.0,5.0,4.0
399,right,4.0,1.0,5.0,5.0
400,left,4.0,2.0,1.0,1.0
401,left,4.0,2.0,1.0,2.0
402,left,4.0,2.0,1.0,3.0
403,left,4.0,2.0,1.0,4.0
404,left,4.0,2.0,1.0,5.0
405,left,4.0,2.0,2.0,1.0
406,left,4.0,2.0,2.0,2.0
407,left,4.0,2.0,2.0,3.0
408,balance,4.0,2.0,2.0,4.0
409,right,4.0,2.0,2.0,5.0
410,left,4.0,2.0,3.0,1.0
411,left,4.0,2.0,3.0,2.0
412,right,4.0,2.0,3.0,3.0
413,right,4.0,2.0,3.0,4.0
414,right,4.0,2.0,3.0,5.0
415,left,4.0,2.0,4.0,1.0
416,balance,4.0,2.0,4.0,2.0
417,right,4.0,2.0,4.0,3.0
418,right,4.0,2.0,4.0,4.0
419,right,4.0,2.0,4.0,5.0
420,left,4.0,2.0,5.0,1.0
421,right,4.0,2.0,5.0,2.0
422,right,4.0,2.0,5.0,3.0
423,right,4.0,2.0,5.0,4.0
424,right,4.0,2.0,5.0,5.0
425,left,4.0,3.0,1.0,1.0
426,left,4.0,3.0,1.0,2.0
427,left,4.0,3.0,1.0,3.0
428,left,4.0,3.0,1.0,4.0
429,left,4.0,3.0,1.0,5.0
430,left,4.0,3.0,2.0,1.0
431,left,4.0,3.0,2.0,2.0
432,left,4.0,3.0,2.0,3.0
433,left,4.0,3.0,2.0,4.0
434,left,4.0,3.0,2.0,5.0
435,left,4.0,3.0,3.0,1.0
436,left,4.0,3.0,3.0,2.0
437,left,4.0,3.0,3.0,3.0
438,balance,4.0,3.0,3.0,4.0
439,right,4.0,3.0,3.0,5.0
440,left,4.0,3.0,4.0,1.0
441,left,4.0,3.0,4.0,2.0
442,balance,4.0,3.0,4.0,3.0
443,right,4.0,3.0,4.0,4.0
444,right,4.0,3.0,4.0,5.0
445,left,4.0,3.0,5.0,1.0
446,left,4.0,3.0,5.0,2.0
447,right,4.0,3.0,5.0,3.0
448,right,4.0,3.0,5.0,4.0
449,right,4.0,3.0,5.0,5.0
450,left,4.0,4.0,1.0,1.0
451,left,4.0,4.0,1.0,2.0
452,left,4.0,4.0,1.0,3.0
453,left,4.0,4.0,1.0,4.0
454,left,4.0,4.0,1.0,5.0
455,left,4.0,4.0,2.0,1.0
456,left,4.0,4.0,2.0,2.0
457,left,4.0,4.0,2.0,3.0
458,left,4.0,4.0,2.0,4.0
459,left,4.0,4.0,2.0,5.0
460,left,4.0,4.0,3.0,1.0
461,left,4.0,4.0,3.0,2.0
462,left,4.0,4.0,3.0,3.0
463,left,4.0,4.0,3.0,4.0
464,left,4.0,4.0,3.0,5.0
465,left,4.0,4.0,4.0,1.0
466,left,4.0,4.0,4.0,2.0
467,left,4.0,4.0,4.0,3.0
468,balance,4.0,4.0,4.0,4.0
469,right,4.0,4.0,4.0,5.0
470,left,4.0,4.0,5.0,1.0
471,left,4.0,4.0,5.0,2.0
472,left,4.0,4.0,5.0,3.0
473,right,4.0,4.0,5.0,4.0
474,right,4.0,4.0,5.0,5.0
475,left,4.0,5.0,1.0,1.0
476,left,4.0,5.0,1.0,2.0
477,left,4.0,5.0,1.0,3.0
478,left,4.0,5.0,1.0,4.0
479,left,4.0,5.0,1.0,5.0
480,left,4.0,5.0,2.0,1.0
481,left,4.0,5.0,2.0,2.0
482,left,4.0,5.0,2.0,3.0
483,left,4.0,5.0,2.0,4.0
484,left,4.0,5.0,2.0,5.0
485,left,4.0,5.0,3.0,1.0
486,left,4.0,5.0,3.0,2.0
487,left,4.0,5.0,3.0,3.0
488,left,4.0,5.0,3.0,4.0
489,left,4.0,5.0,3.0,5.0
490,left,4.0,5.0,4.0,1.0
491,left,4.0,5.0,4.0,2.0
492,left,4.0,5.0,4.0,3.0
493,left,4.0,5.0,4.0,4.0
494,balance,4.0,5.0,4.0,5.0
495,left,4.0,5.0,5.0,1.0
496,left,4.0,5.0,5.0,2.0
497,left,4.0,5.0,5.0,3.0
498,balance,4.0,5.0,5.0,4.0
499,right,4.0,5.0,5.0,5.0
500,left,5.0,1.0,1.0,1.0
501,left,5.0,1.0,1.0,2.0
502,left,5.0,1.0,1.0,3.0
503,left,5.0,1.0,1.0,4.0
504,balance,5.0,1.0,1.0,5.0
505,left,5.0,1.0,2.0,1.0
506,left,5.0,1.0,2.0,2.0
507,right,5.0,1.0,2.0,3.0
508,right,5.0,1.0,2.0,4.0
509,right,5.0,1.0,2.0,5.0
510,left,5.0,1.0,3.0,1.0
511,right,5.0,1.0,3.0,2.0
512,right,5.0,1.0,3.0,3.0
513,right,5.0,1.0,3.0,4.0
514,right,5.0,1.0,3.0,5.0
515,left,5.0,1.0,4.0,1.0
516,right,5.0,1.0,4.0,2.0
517,right,5.0,1.0,4.0,3.0
518,right,5.0,1.0,4.0,4.0
519,right,5.0,1.0,4.0,5.0
520,balance,5.0,1.0,5.0,1.0
521,right,5.0,1.0,5.0,2.0
522,right,5.0,1.0,5.0,3.0
523,right,5.0,1.0,5.0,4.0
524,right,5.0,1.0,5.0,5.0
525,left,5.0,2.0,1.0,1.0
526,left,5.0,2.0,1.0,2.0
527,left,5.0,2.0,1.0,3.0
528,left,5.0,2.0,1.0,4.0
529,left,5.0,2.0,1.0,5.0
530,left,5.0,2.0,2.0,1.0
531,left,5.0,2.0,2.0,2.0
532,left,5.0,2.0,2.0,3.0
533,left,5.0,2.0,2.0,4.0
534,balance,5.0,2.0,2.0,5.0
535,left,5.0,2.0,3.0,1.0
536,left,5.0,2.0,3.0,2.0
537,left,5.0,2.0,3.0,3.0
538,right,5.0,2.0,3.0,4.0
539,right,5.0,2.0,3.0,5.0
540,left,5.0,2.0,4.0,1.0
541,left,5.0,2.0,4.0,2.0
542,right,5.0,2.0,4.0,3.0
543,right,5.0,2.0,4.0,4.0
544,right,5.0,2.0,4.0,5.0
545,left,5.0,2.0,5.0,1.0
546,balance,5.0,2.0,5.0,2.0
547,right,5.0,2.0,5.0,3.0
548,right,5.0,2.0,5.0,4.0
549,right,5.0,2.0,5.0,5.0
550,left,5.0,3.0,1.0,1.0
551,left,5.0,3.0,1.0,2.0
552,left,5.0,3.0,1.0,3.0
553,left,5.0,3.0,1.0,4.0
554,left,5.0,3.0,1.0,5.0
555,left,5.0,3.0,2.0,1.0
556,left,5.0,3.0,2.0,2.0
557,left,5.0,3.0,2.0,3.0
558,left,5.0,3.0,2.0,4.0
559,left,5.0,3.0,2.0,5.0
560,left,5.0,3.0,3.0,1.0
561,left,5.0,3.0,3.0,2.0
562,left,5.0,3.0,3.0,3.0
563,left,5.0,3.0,3.0,4.0
564,balance,5.0,3.0,3.0,5.0
565,left,5.0,3.0,4.0,1.0
566,left,5.0,3.0,4.0,2.0
567,left,5.0,3.0,4.0,3.0
568,right,5.0,3.0,4.0,4.0
569,right,5.0,3.0,4.0,5.0
570,left,5.0,3.0,5.0,1.0
571,left,5.0,3.0,5.0,2.0
572,balance,5.0,3.0,5.0,3.0
573,right,5.0,3.0,5.0,4.0
574,right,5.0,3.0,5.0,5.0
575,left,5.0,4.0,1.0,1.0
576,left,5.0,4.0,1.0,2.0
577,left,5.0,4.0,1.0,3.0
578,left,5.0,4.0,1.0,4.0
579,left,5.0,4.0,1.0,5.0
580,left,5.0,4.0,2.0,1.0
581,left,5.0,4.0,2.0,2.0
582,left,5.0,4.0,2.0,3.0
583,left,5.0,4.0,2.0,4.0
584,left,5.0,4.0,2.0,5.0
585,left,5.0,4.0,3.0,1.0
586,left,5.0,4.0,3.0,2.0
587,left,5.0,4.0,3.0,3.0
588,left,5.0,4.0,3.0,4.0
589,left,5.0,4.0,3.0,5.0
590,left,5.0,4.0,4.0,1.0
591,left,5.0,4.0,4.0,2.0
592,left,5.0,4.0,4.0,3.0
593,left,5.0,4.0,4.0,4.0
594,balance,5.0,4.0,4.0,5.0
595,left,5.0,4.0,5.0,1.0
596,left,5.0,4.0,5.0,2.0
597,left,5.0,4.0,5.0,3.0
598,balance,5.0,4.0,5.0,4.0
599,right,5.0,4.0,5.0,5.0
600,left,5.0,5.0,1.0,1.0
601,left,5.0,5.0,1.0,2.0
602,left,5.0,5.0,1.0,3.0
603,left,5.0,5.0,1.0,4.0
604,left,5.0,5.0,1.0,5.0
605,left,5.0,5.0,2.0,1.0
606,left,5.0,5.0,2.0,2.0
607,left,5.0,5.0,2.0,3.0
608,left,5.0,5.0,2.0,4.0
609,left,5.0,5.0,2.0,5.0
610,left,5.0,5.0,3.0,1.0
611,left,5.0,5.0,3.0,2.0
612,left,5.0,5.0,3.0,3.0
613,left,5.0,5.0,3.0,4.0
614,left,5.0,5.0,3.0,5.0
615,left,5.0,5.0,4.0,1.0
616,left,5.0,5.0,4.0,2.0
617,left,5.0,5.0,4.0,3.0
618,left,5.0,5.0,4.0,4.0
619,left,5.0,5.0,4.0,5.0
620,left,5.0,5.0,5.0,1.0
621,left,5.0,5.0,5.0,2.0
622,left,5.0,5.0,5.0,3.0
623,left,5.0,5.0,5.0,4.0
624,balance,5.0,5.0,5.0,5.0
